FIPS,RUCC_2013,Description,IsMetro,RUCC_2013_Factor
22081,8,"Nonmetro - Completely rural or less than 2,500 urban population, adjacent to a metro area",FALSE,Nonmetro Rural Adj
22083,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22085,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22087,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
22089,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
22091,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22093,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
22095,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
22097,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,Nonmetro Urban 20K+ Adj
22099,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22101,4,"Nonmetro - Urban population of 20,000 or more, adjacent to a metro area",FALSE,Nonmetro Urban 20K+ Adj
22103,1,Metro - Counties in metro areas of 1 million population or more,TRUE,Metro 1M+
22105,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
22107,9,"Nonmetro - Completely rural or less than 2,500 urban population, not adjacent to a metro area",FALSE,Nonmetro Rural NonAdj
22109,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
22111,3,"Metro - Counties in metro areas of fewer than 250,000 population",TRUE,Metro <250K
22113,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22115,5,"Nonmetro - Urban population of 20,000 or more, not adjacent to a metro area",FALSE,Nonmetro Urban 20K+ NonAdj
22117,6,"Nonmetro - Urban population of 2,500 to 19,999, adjacent to a metro area",FALSE,Nonmetro Urban 2.5K-19.9K Adj
22119,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
22121,2,"Metro - Counties in metro areas of 250,000 to 1 million population",TRUE,Metro 250K-1M
