FIPS,residual_R,fitted_R,residual_F,fitted_F
1063,-0.032213259241744036,0.9356167406854453,-0.042263056441047456,0.9456665378847487
1065,0.06798775929528221,0.7024891095383642,0.04775216308748863,0.7227247057461578
1067,0.02678276464600659,0.505064180586266,0.020817702617071294,0.5110292426152013
1069,-0.04302442236516411,0.575633017424613,-0.028750487711752412,0.5613590827712013
1071,-0.05902227759140319,0.457688107816543,-0.04826147583062797,0.44692730605576775
1073,-0.017265116520730324,0.7701491648066533,0.006865281657157623,0.7460187666287653
1075,-0.07939764542152493,0.44918807410039163,-0.07891837954690331,0.44870880822577
1077,-0.030006427313461845,0.5525524648483378,-0.033016175984995004,0.5555622135198709
1079,-0.03462268621956919,0.5081739751623826,-0.023933358118102134,0.4974846470609156
1081,-0.06096083839888926,0.69146857273789,-0.06960316113924389,0.7001108954782447
1083,-0.005424321580082564,0.5373960152767491,0.015256026943099875,0.5167156667535666
1085,0.012784313302329178,0.841801723675575,0.02213342001096689,0.8324526169669374
1087,-0.04407625029546344,0.9506241752207263,-0.03446826527017192,0.9410161901954347
1089,-0.05240550924280671,0.73007834059751,-0.018396122844010383,0.6960689541987136
1091,0.027478871781756148,0.6843453486670847,0.03351759487511702,0.6783066255737238
1093,-0.11962707588327597,0.44679421055911717,-0.08721848779357001,0.4143856224694112
1095,-0.1089342308588592,0.49863004803374245,-0.05400099250381052,0.44369680967869374
1097,-0.0502851116654301,0.7134370249770031,-0.029891161307624006,0.693043074619197
1099,0.0435213857067602,0.604709858036628,0.0294235406179952,0.618807703125393
1101,-0.076992966928671,0.8891111874276941,-0.05357810654702007,0.8656963270460433
1103,-0.06688247208778332,0.5670620286419271,-0.046142950500562226,0.5463225070547061
1105,0.0791705796426733,0.7824850799410725,0.030317903424837936,0.8313377561589078
1107,0.04783743239097991,0.5988937559646614,0.03442033825912723,0.6123108500965141
1109,-0.006377415709854205,0.648287493882802,-0.005655848787289384,0.6475659269602373
1111,-0.03130806250638697,0.4837478061940962,-0.03519111896513585,0.48763086265284505
1113,0.04193708901693586,0.6876754838679481,0.03235876278281014,0.6972538101020738
1115,-0.06450619305042356,0.4844594538517894,-0.06204769902147143,0.4820009598228373
1117,-0.1137584258665657,0.6564282024189364,-0.11690430427272573,0.6595740808250964
1119,0.017166114786104792,0.8454787956010719,0.0013711362979276188,0.861273774089249
1121,-0.0114549043442786,0.6208917188673266,-0.004228205882390896,0.6136650204054389
1123,-0.03772749284135244,0.5681849031252507,-0.034104020771239495,0.5645614310551378
1125,0.09600189581040185,0.5558333418716369,0.06620240344136989,0.5856328342406689
1127,-0.06521980864440304,0.46115518243424264,-0.04560059691530915,0.4415359707051488
1129,-0.0038205043373091734,0.5097365222111259,-0.012532799251000775,0.5184488171248175
1131,0.025287776684870204,0.8043617349573051,0.022967706338614325,0.806681805303561
