FIPS,COUNTYNAME,N1,A00100,A00200,A00900,A01000,A01700,A02300,A02500,A26270,A19300,A19700,A10300,A59660,N59660,A11070
29139,Montgomery County,5540,262243,185172,9505,7660,27196,5333,12656,5459,857,1066,22253,2184,920,1323
29141,Morgan County,9730,443731,258380,30917,20575,55941,10004,22924,28372,1770,3061,39023,4343,1870,2742
29143,New Madrid County,7330,338182,225272,7995,5933,32697,7992,14753,9981,667,1939,32623,4861,1840,2397
29145,Newton County,26870,1489204,1063550,45332,76436,104702,33014,51251,77321,7387,23294,157136,12930,5420,8255
29147,Nodaway County,9070,472410,305320,17221,20818,45570,6918,21487,25713,924,3150,45063,2507,1190,1794
29149,Oregon County,4240,152092,108263,5808,5336,20533,5385,6041,12916,228,696,12641,2859,1120,1526
29151,Osage County,6450,355508,263446,7774,13763,38863,4089,14672,21449,779,2393,32139,1655,780,1147
29153,Ozark County,4140,156577,95842,6763,10071,27143,5648,9068,6314,389,484,14165,2269,910,1129
29155,Pemiscot County,6620,272412,190682,6807,3164,29779,8090,11493,4594,585,2413,26009,5628,2030,2498
29157,Perry County,9410,491608,349614,12871,16832,42053,12640,20888,21884,993,2798,44027,3188,1460,1906
29159,Pettis County,19920,940795,650691,41476,30479,87110,26081,33090,40198,2201,6259,84397,10342,4190,6495
29161,Phelps County,19560,998075,699266,26154,27427,122706,17168,39673,46596,4521,10059,99474,8031,3600,4800
29163,Pike County,8130,363786,257249,12582,13955,33089,7953,15891,11579,667,1336,33926,3291,1370,2005
29165,Platte County,53850,4769670,3348313,118605,257523,309313,75572,142374,359464,47586,64801,674566,11784,5600,7645
29167,Polk County,13950,653311,466526,25960,25110,61292,14367,23940,34371,2446,5568,58187,6851,2810,4301
29169,Pulaski County,19770,951218,743147,17157,13425,132212,16780,25554,11032,3270,5005,69906,9555,4100,7185
29171,Putnam County,2200,93662,64184,5410,5565,11605,1575,4683,2367,351,242,7993,878,390,513
29173,Ralls County,4930,284037,192622,6906,10095,27963,5058,12975,10397,612,1080,28549,1421,690,1001
29175,Randolph County,11960,563985,377471,14319,14822,48634,11802,21982,59651,1822,6251,56252,5181,2230,3060
29177,Ray County,11240,611684,467150,12067,12022,59630,15531,24774,10742,2344,2495,54021,3547,1660,2302
29179,Reynolds County,2640,100447,79126,1834,2080,13466,2949,4053,807,0,254,7535,1699,670,780
29181,Ripley County,5270,189674,143954,7592,5379,22930,7835,7364,3906,527,1057,13509,3932,1520,2089
29183,St. Charles County,207740,16761028,12289366,351384,682192,1233434,265532,584538,783968,156071,159461,2085310,36519,18050,23647
29185,St. Clair County,4160,169836,113308,7185,6203,22196,4168,8850,6738,256,631,15006,1998,850,1130
29186,Ste. Genevieve Count,8900,516859,370886,9521,20970,49212,9680,22440,21147,1541,2336,49533,2585,1160,1576
29187,St. Francois County,31020,1360962,986739,26215,44906,153160,37730,53484,40256,5125,7983,118377,13833,6050,7567
29189,St. Louis County,518870,50052670,29994970,1276871,4140429,2855774,701828,1564968,4588963,455614,1031177,8194354,175217,75080,89612
29195,Saline County,10310,477663,340210,12265,17201,45746,7093,21545,21834,1009,1964,41989,4705,2020,2988
29197,Schuyler County,1840,71639,51905,6563,3823,7819,1798,3215,1302,0,0,5634,779,350,544
29199,Scotland County,2090,96540,53314,7860,7525,7560,1049,3274,9353,0,824,8257,762,350,513
29201,Scott County,18070,940273,624495,27538,25111,68709,18443,35566,60436,2603,5580,88854,10163,3960,5284
29203,Shannon County,3420,121658,84451,5580,2480,17176,4577,4462,4095,154,276,10460,2449,930,1320
29205,Shelby County,2910,140297,91652,6112,4908,11887,2064,5676,7313,0,938,13092,1156,500,754
29207,Stoddard County,12970,640498,434630,25192,33482,52996,12237,25650,41766,2035,7829,66728,6386,2740,3548
