FIPS,PRES_DEM_RATIO
19089,0.3612640202045
19091,0.2737801373005
19093,0.2411888539791
19095,0.3701732456684
19097,0.3667394816875
19099,0.3895378112793
19101,0.4910744726658
19103,0.7183156609535
19105,0.3897677958012
19107,0.2707256376743
19109,0.3000890612602
19111,0.4000856280327
19113,0.5687300562859
19115,0.329892963171
19117,0.2804105579853
19119,0.1572586596012
19121,0.3244642317295
19123,0.2580702602863
19125,0.3268783092499
19127,0.4596873819828
19129,0.3087149262428
19131,0.3578525483608
19133,0.301349312067
19135,0.2657790780067
19137,0.3015812635422
19139,0.46311211586
19141,0.2108870893717
19143,0.1823422312737
19145,0.2813595831394
19147,0.3101899027824
19149,0.2494110912085
19151,0.2478087693453
19153,0.5762093663216
19155,0.4134484827518
19157,0.4315061569214
19159,0.2642564177513
19161,0.254488825798
19163,0.5163285136223
19165,0.2937031388283
19167,0.1606363803148
19169,0.5868332386017
19171,0.4018198251724
19173,0.2319651693106
19175,0.3387017250061
19177,0.2336448580027
19179,0.3790453970432
19181,0.413047760725
19183,0.3948234021664
19185,0.236730709672
19187,0.376101911068
19189,0.3642722964287
19191,0.472811460495
19193,0.4190903007984
19195,0.3679114878178
19197,0.3248697817326
20001,0.2712508738041
20003,0.2107248753309
20005,0.3247075080872
20007,0.1262472867966
20009,0.2137376666069
20011,0.234765380621
20013,0.2528630197048
20015,0.2885745763779
20017,0.2350136190653
20019,0.1313506811857
20021,0.2448660731316
20023,0.1592039763927
20025,0.1365807056427
20027,0.2196020632982
20029,0.2210475802422
20031,0.2164832651615
20033,0.1418918967247
20035,0.3067700564861
20037,0.3808555305004
20039,0.1474966108799
20041,0.2242542952299
20043,0.1873293220997
20045,0.7023299336433
20047,0.1919263452291
20049,0.1460674107075
20051,0.2769173681736
20053,0.2317596524954
20055,0.3741025924683
20057,0.3368000090122
20059,0.3032295107841
20061,0.4280034303665
20063,0.113932736218
20065,0.1743119210005
20067,0.2110839486122
20069,0.1514209657907
20071,0.1244019120932
20073,0.1888483166695
20075,0.168057218194
20077,0.1753518432379
20079,0.3985468745232
20081,0.1928057521582
20083,0.1496598571539
20085,0.2939981222153
20087,0.3352225124836
20089,0.1325828582048
20091,0.5421136021614
20093,0.1865828037262
20095,0.1937145739794
20097,0.1373239457607
20099,0.3164481520653
20101,0.131128847599
20103,0.3911990225315
